"Date","Price","Open","High","Low","Change %"
"Sep 17, 2021","26.6715","26.6900","26.7575","26.6458","-0.04%"
"Sep 16, 2021","26.6828","26.6399","26.7105","26.6150","0.20%"
"Sep 15, 2021","26.6291","26.6400","26.6702","26.6047","-0.00%"
"Sep 14, 2021","26.6293","26.6700","26.8512","26.6001","-0.15%"
"Sep 13, 2021","26.6700","26.9725","26.9725","26.6575","-0.19%"
"Sep 10, 2021","26.7197","26.6600","26.7801","26.6203","0.22%"
"Sep 09, 2021","26.6599","26.7651","26.8512","26.6698","-0.34%"
"Sep 08, 2021","26.7498","26.7200","26.8900","26.6950","0.11%"
"Sep 07, 2021","26.7191","26.8900","26.8900","26.6503","-0.17%"
"Sep 06, 2021","26.7641","26.8838","26.8930","26.6450","-0.45%"
"Sep 03, 2021","26.8848","26.9651","26.9817","26.8645","-0.23%"
"Sep 02, 2021","26.9466","27.0600","27.0875","26.8512","-0.27%"
"Sep 01, 2021","27.0197","26.9352","27.0592","26.8512","0.45%"
"Aug 31, 2021","26.8991","26.8500","26.9449","26.7925","0.37%"
"Aug 30, 2021","26.7993","26.9500","26.9555","26.7925","-0.30%"
"Aug 27, 2021","26.8791","26.8452","26.9646","26.8325","0.13%"
"Aug 26, 2021","26.8447","26.7201","26.8729","26.7101","0.54%"
"Aug 25, 2021","26.6999","26.6877","26.8512","26.6625","0.15%"
"Aug 20, 2021","26.6595","26.6875","26.7128","26.6338","0.02%"
"Aug 19, 2021","26.6543","26.6152","26.7925","26.5996","0.15%"
"Aug 18, 2021","26.6148","26.6700","26.7925","26.5896","-0.20%"
"Aug 17, 2021","26.6693","26.7500","26.8512","26.6120","-0.26%"
"Aug 16, 2021","26.7398","26.6750","26.7705","26.6050","0.36%"
"Aug 13, 2021","26.6449","26.7300","26.7925","26.6399","-0.28%"
"Aug 12, 2021","26.7203","26.7650","26.8121","26.7229","-0.47%"
"Aug 11, 2021","26.8475","26.7900","26.8512","26.7446","0.25%"
"Aug 10, 2021","26.7796","26.8100","26.8204","26.7041","0.34%"
"Aug 09, 2021","26.6897","26.8575","26.8575","26.7150","-0.30%"
"Aug 06, 2021","26.7694","26.9000","26.9205","26.7896","-0.41%"
"Aug 05, 2021","26.8798","26.9400","26.9655","26.8745","-0.03%"
"Aug 04, 2021","26.8892","26.8900","26.9770","26.8475","0.11%"
"Aug 03, 2021","26.8597","26.8600","26.9100","26.8003","0.00%"
"Aug 02, 2021","26.8590","26.8352","26.8979","26.7897","0.26%"
"Jul 30, 2021","26.7894","26.8602","26.8755","26.7700","-0.22%"
"Jul 29, 2021","26.8498","26.9451","26.9491","26.8471","-0.15%"
"Jul 28, 2021","26.8898","26.8801","26.9749","26.8125","-0.02%"
"Jul 27, 2021","26.8946","26.9425","27.2150","26.8304","-0.09%"
"Jul 26, 2021","26.9191","27.2150","27.2150","26.9347","-0.43%"
"Jul 23, 2021","27.0342","27.1597","27.2350","27.0175","-0.35%"
"Jul 22, 2021","27.1293","27.2201","27.2495","27.1325","-0.26%"
"Jul 21, 2021","27.1993","27.2150","27.2857","27.1975","-0.04%"
"Jul 20, 2021","27.2091","27.2150","27.2475","27.1915","0.04%"
"Jul 19, 2021","27.1992","27.2274","27.2800","27.1785","-0.07%"
"Jul 16, 2021","27.2190","27.2550","27.2782","27.2090","-0.13%"
"Jul 15, 2021","27.2548","27.3075","27.3245","27.2605","-0.05%"
"Jul 14, 2021","27.2697","27.3052","27.3395","27.2750","0.08%"
"Jul 13, 2021","27.2490","27.2852","27.3505","27.2695","-0.07%"
"Jul 12, 2021","27.2694","27.3088","27.3337","27.2538","-0.00%"
"Jul 09, 2021","27.2696","27.3150","27.3507","27.2795","-0.04%"
"Jul 08, 2021","27.2796","27.2625","27.3501","27.2280","0.26%"
"Jul 07, 2021","27.2099","27.2900","27.3584","27.2345","-0.33%"
"Jul 06, 2021","27.2991","27.2900","27.3305","27.2167","0.05%"
"Jul 05, 2021","27.2846","27.4310","27.4310","27.2607","-0.24%"
"Jul 02, 2021","27.3499","27.4310","27.4520","27.3345","0.00%"
"Jul 01, 2021","27.3494","27.4310","27.4310","27.2675","0.33%"
"Jun 30, 2021","27.2592","27.2101","27.4310","27.1371","0.26%"
"Jun 29, 2021","27.1893","27.3249","27.4310","27.1451","-0.40%"
"Jun 25, 2021","27.2992","27.4310","27.5495","27.3148","-0.73%"
"Jun 24, 2021","27.4995","27.3750","27.5695","27.3277","0.92%"
"Jun 23, 2021","27.2500","27.3000","27.4700","27.2150","-0.33%"
"Jun 22, 2021","27.3390","27.2450","27.4020","27.2128","0.36%"
"Jun 18, 2021","27.2416","27.2250","27.3155","27.1567","0.08%"
"Jun 17, 2021","27.2199","27.1300","27.2530","27.1126","0.48%"
"Jun 16, 2021","27.0894","26.9950","27.1320","26.9601","0.22%"
"Jun 15, 2021","27.0297","26.9150","27.0825","26.8934","0.52%"
"Jun 14, 2021","26.8895","26.9853","27.0349","26.9046","-0.41%"
"Jun 11, 2021","26.9997","27.1000","27.1154","27.0096","-0.33%"
"Jun 10, 2021","27.0890","27.0850","27.1380","27.0588","0.02%"
"Jun 09, 2021","27.0846","27.0750","27.4500","27.0606","0.03%"
"Jun 08, 2021","27.0773","27.1850","27.2262","27.0961","-0.50%"
"Jun 07, 2021","27.2140","27.2401","27.4500","27.1595","-0.06%"
"Jun 04, 2021","27.2296","27.2850","27.4500","27.2250","-0.20%"
"Jun 03, 2021","27.2844","27.3113","27.4500","27.2859","-0.06%"
"Jun 02, 2021","27.2999","27.4050","27.4500","27.3043","-0.40%"
"Jun 01, 2021","27.4093","27.4600","27.4737","27.4107","-0.18%"
"May 31, 2021","27.4597","27.5250","27.5505","27.4247","-0.11%"
"May 28, 2021","27.4899","27.5150","27.5555","27.4605","-0.03%"
"May 27, 2021","27.4993","27.5250","27.5777","27.4700","-0.09%"
"May 26, 2021","27.5244","27.5000","27.5866","27.4845","0.11%"
"May 25, 2021","27.4935","27.4250","27.5185","27.4175","0.41%"
"May 24, 2021","27.3799","27.4399","27.4734","27.3940","-0.12%"
"May 21, 2021","27.4140","27.5000","27.5063","27.4076","-0.17%"
"May 20, 2021","27.4594","27.6850","27.6850","27.4250","0.22%"
"May 19, 2021","27.3997","27.4000","27.4604","27.3746","0.00%"
